Entry,Reviewed,Entry Name,Protein names,Gene Names,Organism,Length,Lipidation
Q64444,reviewed,CAH4_MOUSE,Carbonic anhydrase 4 (EC 4.2.1.1) (Carbonate dehydratase IV) (Carbonic anhydrase IV) (CA-IV),Ca4 Car4,Mus musculus (Mouse),305,"LIPID 277; /note=""GPI-anchor amidated serine""; /evidence=""ECO:0000250|UniProtKB:P22748"""
Q64527,reviewed,WNT8A_MOUSE,Protein Wnt-8a (Protein Wnt-8d) (Stimulated by retinoic acid gene 11 protein),Wnt8a Stra11 Wnt8d,Mus musculus (Mouse),354,"LIPID 186; /note=""O-palmitoleoyl serine""; /evidence=""ECO:0000250|UniProtKB:P28026"""
Q69Z26,reviewed,CNTN4_MOUSE,Contactin-4 (Brain-derived immunoglobulin superfamily protein 2) (BIG-2),Cntn4 Kiaa3024,Mus musculus (Mouse),1026,"LIPID 1000; /note=""GPI-anchor amidated serine""; /evidence=""ECO:0000255"""
Q6A0D4,reviewed,RFTN1_MOUSE,Raftlin (Raft-linking protein),Rftn1 Kiaa0084,Mus musculus (Mouse),554,"LIPID 2; /note=""N-myristoyl glycine""; /evidence=""ECO:0000250""; LIPID 3; /note=""S-palmitoyl cysteine""; /evidence=""ECO:0000250"""
Q6PAC4,reviewed,PCARE_MOUSE,Photoreceptor cilium actin regulator,Pcare,Mus musculus (Mouse),1279,"LIPID 2; /note=""N-myristoyl glycine""; /evidence=""ECO:0000255""; LIPID 3; /note=""S-palmitoyl cysteine""; /evidence=""ECO:0000255"""
Q6PAK3,reviewed,ANM8_MOUSE,Protein arginine N-methyltransferase 8 (EC 2.1.1.319) (Heterogeneous nuclear ribonucleoprotein methyltransferase-like protein 4),Prmt8 Hrmt1l4,Mus musculus (Mouse),394,"LIPID 2; /note=""N-myristoyl glycine""; /evidence=""ECO:0000250|UniProtKB:Q9NR22"""
Q6PCX7,reviewed,RGMA_MOUSE,Repulsive guidance molecule A (RGM domain family member A),Rgma,Mus musculus (Mouse),454,"LIPID 427; /note=""GPI-anchor amidated alanine""; /evidence=""ECO:0000255"""
Q6PHN9,reviewed,RAB35_MOUSE,Ras-related protein Rab-35,Rab35,Mus musculus (Mouse),201,"LIPID 200; /note=""S-geranylgeranyl cysteine""; /evidence=""ECO:0000250""; LIPID 201; /note=""S-geranylgeranyl cysteine""; /evidence=""ECO:0000250"""
Q6PHU5,reviewed,SORT_MOUSE,Sortilin (Neurotensin receptor 3) (NTR3) (mNTR3),Sort1,Mus musculus (Mouse),825,"LIPID 781; /note=""S-palmitoyl cysteine""; /evidence=""ECO:0000250|UniProtKB:Q99523"""
Q6RT24,reviewed,CENPE_MOUSE,Centromere-associated protein E (Centromere protein E) (CENP-E) (Kinesin superfamily protein 10) (KIF10) (Motor domain of KIF10),Cenpe,Mus musculus (Mouse),2474,"LIPID 2471; /note=""S-farnesyl cysteine""; /evidence=""ECO:0000250|UniProtKB:Q02224"""
Q6VZZ7,reviewed,OPN5_MOUSE,Opsin-5 (G-protein coupled receptor 136) (G-protein coupled receptor PGR12) (Neuropsin),Opn5 Gpr136 Pgr12,Mus musculus (Mouse),377,"LIPID 315; /note=""S-palmitoyl cysteine""; /evidence=""ECO:0000255""; LIPID 316; /note=""S-palmitoyl cysteine""; /evidence=""ECO:0000255"""
Q6X893,reviewed,CTL1_MOUSE,Choline transporter-like protein 1 (Solute carrier family 44 member 1) (CD antigen CD92),Slc44a1 Cd92 Cdw92 Ctl1,Mus musculus (Mouse),653,"LIPID 2; /note=""N-myristoyl glycine""; /evidence=""ECO:0000250"""
Q6ZPF3,reviewed,TIAM2_MOUSE,Rho guanine nucleotide exchange factor TIAM2 (SIF and TIAM1-like exchange factor) (T-lymphoma invasion and metastasis-inducing protein 2) (TIAM-2),Tiam2 Kiaa2016 Stef,Mus musculus (Mouse),1715,"LIPID 2; /note=""N-myristoyl glycine""; /evidence=""ECO:0000255"""
Q6ZPF4,reviewed,FMNL3_MOUSE,Formin-like protein 3,Fmnl3 Frl2 Kiaa2014,Mus musculus (Mouse),1028,"LIPID 2; /note=""N-myristoyl glycine""; /evidence=""ECO:0000250"""
Q6ZPS6,reviewed,AKIB1_MOUSE,Ankyrin repeat and IBR domain-containing protein 1 (EC 2.3.2.31),Ankib1 Kiaa1386,Mus musculus (Mouse),1085,"LIPID 2; /note=""N-myristoyl glycine""; /evidence=""ECO:0000250"""
Q71FD5,reviewed,ZNRF2_MOUSE,E3 ubiquitin-protein ligase ZNRF2 (EC 2.3.2.27) (RING-type E3 ubiquitin transferase ZNRF2) (Zinc/RING finger protein 2),Znrf2,Mus musculus (Mouse),238,"LIPID 2; /note=""N-myristoyl glycine""; /evidence=""ECO:0000255"""
Q7M6Z0,reviewed,R4RL2_MOUSE,Reticulon-4 receptor-like 2 (Nogo receptor-like 3) (Nogo-66 receptor homolog 1) (Nogo-66 receptor-related protein 2) (NgR2),Rtn4rl2 Ngrl3,Mus musculus (Mouse),420,"LIPID 398; /note=""GPI-anchor amidated glycine""; /evidence=""ECO:0000255"""
Q7TN89,reviewed,RASE_MOUSE,GTPase ERas (E-Ras) (EC 3.6.5.2) (Embryonic stem cell-expressed Ras),Eras,Mus musculus (Mouse),227,"LIPID 220; /note=""S-palmitoyl cysteine""; /evidence=""ECO:0000250""; LIPID 222; /note=""S-palmitoyl cysteine""; /evidence=""ECO:0000250""; LIPID 224; /note=""S-farnesyl cysteine""; /evidence=""ECO:0000250"""
Q7TNC9,reviewed,I5P1_MOUSE,"Inositol polyphosphate-5-phosphatase A (EC 3.1.3.56) (Type I inositol 1,4,5-trisphosphate 5-phosphatase) (5PTase)",Inpp5a,Mus musculus (Mouse),412,"LIPID 409; /note=""S-farnesyl cysteine""; /evidence=""ECO:0000250|UniProtKB:Q14642"""
Q7TNH6,reviewed,NPHP3_MOUSE,Nephrocystin-3,Nphp3 Kiaa2000,Mus musculus (Mouse),1325,"LIPID 2; /note=""N-myristoyl glycine""; /evidence=""ECO:0000250"""
Q7TQ32,reviewed,RGMC_MOUSE,Hemojuvelin (Hemochromatosis type 2 protein homolog) (Hemojuvelin BMP coreceptor) (RGM domain family member C),Hjv Hfe2 Rgmc,Mus musculus (Mouse),420,"LIPID 393; /note=""GPI-anchor amidated aspartate""; /evidence=""ECO:0000255"""
Q7TQ33,reviewed,RGMB_MOUSE,Repulsive guidance molecule B (DRG11-responsive axonal guidance and outgrowth of neurite) (DRAGON),Rgmb,Mus musculus (Mouse),436,"LIPID 415; /note=""GPI-anchor amidated cysteine""; /evidence=""ECO:0000255"""
Q7TQ95,reviewed,LNP_MOUSE,Endoplasmic reticulum junction formation protein lunapark (ER junction formation factor lunapark) (Protein ulnaless),Lnpk Kiaa1715 Lnp Uln,Mus musculus (Mouse),425,"LIPID 2; /note=""N-myristoyl glycine""; /evidence=""ECO:0000250|UniProtKB:Q9C0E8"""
Q7TSJ2,reviewed,MAP6_MOUSE,Microtubule-associated protein 6 (MAP-6) (Stable tubule-only polypeptide) (STOP),Map6 Mtap6,Mus musculus (Mouse),906,"LIPID 5; /note=""S-palmitoyl cysteine""; /evidence=""ECO:0000250|UniProtKB:Q63560""; LIPID 10; /note=""S-palmitoyl cysteine""; /evidence=""ECO:0000250|UniProtKB:Q63560""; LIPID 11; /note=""S-palmitoyl cysteine""; /evidence=""ECO:0000250|UniProtKB:Q63560"""
Q7TSP5,reviewed,VTCN1_MOUSE,V-set domain containing T-cell activation inhibitor 1 (B7 homolog 4) (B7-H4) (Immune costimulatory protein B7-H4) (Protein B7S1) (T cell costimulatory molecule B7x),Vtcn1 B7h4,Mus musculus (Mouse),283,"LIPID 257; /note=""GPI-anchor amidated glycine""; /evidence=""ECO:0000255"""
Q80VQ0,reviewed,AL3B1_MOUSE,Aldehyde dehydrogenase family 3 member B1 (EC 1.2.1.28) (EC 1.2.1.5) (EC 1.2.1.7) (Aldehyde dehydrogenase 7),Aldh3b1 Aldh7,Mus musculus (Mouse),468,"LIPID 462; /note=""S-palmitoyl cysteine""; /evidence=""ECO:0000269|PubMed:25286108""; LIPID 463; /note=""S-palmitoyl cysteine""; /evidence=""ECO:0000269|PubMed:25286108""; LIPID 465; /note=""S-geranylgeranyl cysteine""; /evidence=""ECO:0000250|UniProtKB:P43353"""
Q80WM3,reviewed,CPLX4_MOUSE,Complexin-4 (Complexin IV) (CPX IV),Cplx4,Mus musculus (Mouse),160,"LIPID 157; /note=""S-farnesyl cysteine""; /evidence=""ECO:0000269|PubMed:15911881"""
Q80X71,reviewed,T106B_MOUSE,Transmembrane protein 106B,Tmem106b,Mus musculus (Mouse),275,"LIPID 2; /note=""N-myristoyl glycine""; /evidence=""ECO:0000250|UniProtKB:Q9NUM4"""
Q80Y24,reviewed,PRIC2_MOUSE,Prickle-like protein 2,Prickle2,Mus musculus (Mouse),845,"LIPID 842; /note=""S-farnesyl cysteine""; /evidence=""ECO:0000250"""
Q80Y83,reviewed,DIXC1_MOUSE,Dixin (Coiled-coil protein DIX1) (Coiled-coil-DIX1) (DIX domain-containing protein 1),Dixdc1 Ccd1 Kiaa1735,Mus musculus (Mouse),711,"LIPID Q80Y83-4:2; /note=""N-myristoyl glycine""; /evidence=""ECO:0000250"""
Q80Z24,reviewed,NEGR1_MOUSE,Neuronal growth regulator 1 (Kindred of IgLON) (Kilon) (Neurotractin),Negr1 Kiaa3001 Ntra,Mus musculus (Mouse),348,"LIPID 318; /note=""GPI-anchor amidated glycine""; /evidence=""ECO:0000250|UniProtKB:Q7Z3B1"""
Q80ZA0,reviewed,ITL1B_MOUSE,Intelectin-1b (Intelectin-2),Itln1b Itln2 Itlnb,Mus musculus (Mouse),313,"LIPID 298; /note=""GPI-anchor amidated serine""; /evidence=""ECO:0000255"""
Q80ZJ1,reviewed,RAP2A_MOUSE,Ras-related protein Rap-2a (EC 3.6.5.2),Rap2a,Mus musculus (Mouse),183,"LIPID 176; /note=""S-palmitoyl cysteine""; /evidence=""ECO:0000269|PubMed:19061864""; LIPID 177; /note=""S-palmitoyl cysteine""; /evidence=""ECO:0000269|PubMed:19061864""; LIPID 180; /note=""S-farnesyl cysteine""; /evidence=""ECO:0000269|PubMed:19061864"""
Q8BGN3,reviewed,ENPP6_MOUSE,Glycerophosphocholine cholinephosphodiesterase ENPP6 (GPC-Cpde) (EC 3.1.4.-) (EC 3.1.4.38) (Choline-specific glycerophosphodiester phosphodiesterase) (Ectonucleotide pyrophosphatase/phosphodiesterase family member 6) (E-NPP 6) (NPP-6),Enpp6,Mus musculus (Mouse),440,"LIPID 419; /note=""GPI-anchor amidated serine""; /evidence=""ECO:0000255"""
Q8BGU5,reviewed,CCNY_MOUSE,Cyclin-Y (Cyclin fold protein 1),Ccny Cfp1,Mus musculus (Mouse),341,"LIPID 2; /note=""N-myristoyl glycine""; /evidence=""ECO:0000250"""
Q8BH16,reviewed,FBXL2_MOUSE,F-box/LRR-repeat protein 2 (F-box and leucine-rich repeat protein 2),Fbxl2,Mus musculus (Mouse),423,"LIPID 420; /note=""S-geranylgeranyl cysteine""; /evidence=""ECO:0000250|UniProtKB:Q9UKC9"""
Q8BHB0,reviewed,NOD1_MOUSE,Nucleotide-binding oligomerization domain-containing protein 1 (mNod1),Nod1,Mus musculus (Mouse),953,"LIPID 558; /note=""S-palmitoyl cysteine""; /evidence=""ECO:0000250|UniProtKB:Q9Y239""; LIPID 567; /note=""S-palmitoyl cysteine""; /evidence=""ECO:0000250|UniProtKB:Q9Y239""; LIPID 952; /note=""S-palmitoyl cysteine""; /evidence=""ECO:0000250|UniProtKB:Q9Y239"""
Q8BHC1,reviewed,RB39B_MOUSE,Ras-related protein Rab-39B,Rab39b,Mus musculus (Mouse),213,"LIPID 211; /note=""S-geranylgeranyl cysteine""; /evidence=""ECO:0000250|UniProtKB:P20336""; LIPID 213; /note=""S-geranylgeranyl cysteine""; /evidence=""ECO:0000250|UniProtKB:P20336"""
Q8BJQ4,reviewed,TCAM2_MOUSE,TIR domain-containing adapter molecule 2 (TICAM-2) (TRIF-related adapter molecule) (Toll/interleukin-1 receptor domain-containing protein),Ticam2 Tirp Tram,Mus musculus (Mouse),232,"LIPID 2; /note=""N-myristoyl glycine""; /evidence=""ECO:0000250|UniProtKB:Q86XR7"""
Q8BKT6,reviewed,TSN12_MOUSE,Tetraspanin-12 (Tspan-12) (Transmembrane 4 superfamily member 12),Tspan12 Tm4sf12,Mus musculus (Mouse),305,"LIPID 9; /note=""S-palmitoyl cysteine""; /evidence=""ECO:0000250""; LIPID 12; /note=""S-palmitoyl cysteine""; /evidence=""ECO:0000250""; LIPID 83; /note=""S-palmitoyl cysteine""; /evidence=""ECO:0000250"""
Q8BLC3,reviewed,LYPD1_MOUSE,Ly6/PLAUR domain-containing protein 1 (Ly-6/neurotoxin-like protein 2) (Lynx2),Lypd1 Lypdc1 MNCb-0671,Mus musculus (Mouse),141,"LIPID 115; /note=""GPI-anchor amidated glycine""; /evidence=""ECO:0000255"""
Q8BLD9,reviewed,DRD5_MOUSE,D(1B) dopamine receptor (D(5) dopamine receptor) (Dopamine D5 receptor),Drd5,Mus musculus (Mouse),478,"LIPID 370; /note=""S-palmitoyl cysteine""; /evidence=""ECO:0000250"""
Q8BLR7,reviewed,RND1_MOUSE,Rho-related GTP-binding protein Rho6 (Rho family GTPase 1) (Rnd1),Rnd1 Rho6,Mus musculus (Mouse),232,"LIPID 229; /note=""S-geranylgeranyl cysteine""; /evidence=""ECO:0000250"""
Q8BMK4,reviewed,CKAP4_MOUSE,Cytoskeleton-associated protein 4 (63-kDa cytoskeleton-linking membrane protein) (Climp-63) (p63),Ckap4,Mus musculus (Mouse),575,"LIPID 79; /note=""S-palmitoyl cysteine; by ZDHHC2""; /evidence=""ECO:0000250"""
Q8BMT9,reviewed,HHAT_MOUSE,Protein-cysteine N-palmitoyltransferase HHAT (EC 2.3.1.-) (Hedgehog acyltransferase) (Skinny hedgehog protein),Hhat Skn,Mus musculus (Mouse),499,"LIPID 188; /note=""S-palmitoyl cysteine""; /evidence=""ECO:0000250|UniProtKB:Q9Y6R1""; LIPID 248; /note=""S-palmitoyl cysteine""; /evidence=""ECO:0000250|UniProtKB:Q9Y6R1""; LIPID 330; /note=""S-palmitoyl cysteine""; /evidence=""ECO:0000250|UniProtKB:Q9Y6R1""; LIPID 416; /note=""S-palmitoyl cysteine""; /evidence=""ECO:0000250|UniProtKB:Q9Y6R1"""
Q8BNJ3,reviewed,NMNA2_MOUSE,Nicotinamide/nicotinic acid mononucleotide adenylyltransferase 2 (NMN/NaMN adenylyltransferase 2) (EC 2.7.7.1) (EC 2.7.7.18) (Nicotinamide mononucleotide adenylyltransferase 2) (NMN adenylyltransferase 2) (Nicotinate-nucleotide adenylyltransferase 2) (NaMN adenylyltransferase 2) (Protein bloated bladder) (Blad),Nmnat2 Kiaa0479,Mus musculus (Mouse),307,"LIPID 164; /note=""S-palmitoyl cysteine""; /evidence=""ECO:0000269|PubMed:23610559""; LIPID 165; /note=""S-palmitoyl cysteine""; /evidence=""ECO:0000269|PubMed:23610559"""
Q8BNY6,reviewed,NCS1_MOUSE,Neuronal calcium sensor 1 (NCS-1) (Frequenin homolog),Ncs1 Freq,Mus musculus (Mouse),190,"LIPID 2; /note=""N-myristoyl glycine""; /evidence=""ECO:0000250|UniProtKB:P62166"""
Q8BPP5,reviewed,LYPD6_MOUSE,Ly6/PLAUR domain-containing protein 6,Lypd6,Mus musculus (Mouse),171,"LIPID 147; /note=""GPI-anchor amidated asparagine""; /evidence=""ECO:0000255"""
Q8BQP9,reviewed,R7BP_MOUSE,Regulator of G-protein signaling 7-binding protein (R7 family-binding protein),Rgs7bp D13Bwg1146e R7bp,Mus musculus (Mouse),257,"LIPID 252; /note=""S-palmitoyl cysteine""; /evidence=""ECO:0000305|PubMed:15897264, ECO:0000305|PubMed:16574655""; LIPID 253; /note=""S-palmitoyl cysteine""; /evidence=""ECO:0000305|PubMed:15897264, ECO:0000305|PubMed:16574655"""
Q8BU31,reviewed,RAP2C_MOUSE,Ras-related protein Rap-2c (EC 3.6.5.2),Rap2c,Mus musculus (Mouse),183,"LIPID 176; /note=""S-palmitoyl cysteine""; /evidence=""ECO:0000269|PubMed:19061864""; LIPID 177; /note=""S-palmitoyl cysteine""; /evidence=""ECO:0000269|PubMed:19061864""; LIPID 180; /note=""S-geranylgeranyl cysteine""; /evidence=""ECO:0000269|PubMed:19061864"""
Q8BUE4,reviewed,FSP1_MOUSE,Ferroptosis suppressor protein 1 (FSP1) (EC 1.6.5.-) (Apoptosis-inducing factor homologous mitochondrion-associated inducer of death) (AMID) (p53-responsive gene 3 protein),Aifm2 Amid,Mus musculus (Mouse),373,"LIPID 2; /note=""N-myristoyl glycine""; /evidence=""ECO:0000250|UniProtKB:Q9BRQ8"""
Q8BUV3,reviewed,GEPH_MOUSE,Gephyrin [Includes: Molybdopterin adenylyltransferase (MPT adenylyltransferase) (EC 2.7.7.75) (Domain G); Molybdopterin molybdenumtransferase (MPT Mo-transferase) (EC 2.10.1.1) (Domain E)],Gphn,Mus musculus (Mouse),769,"LIPID 212; /note=""S-palmitoyl cysteine""; /evidence=""ECO:0000250|UniProtKB:Q9NQX3""; LIPID 284; /note=""S-palmitoyl cysteine""; /evidence=""ECO:0000250|UniProtKB:Q9NQX3"""
Q8BWU1,reviewed,SPRN_MOUSE,Shadow of prion protein (Protein shadoo),Sprn Gm169,Mus musculus (Mouse),147,"LIPID 122; /note=""GPI-anchor amidated glycine""; /evidence=""ECO:0000255"""
Q8C180,reviewed,FRS2_MOUSE,Fibroblast growth factor receptor substrate 2 (FGFR substrate 2) (FGFR-signaling adaptor SNT) (FRS2-alpha) (Suc1-associated neurotrophic factor target 1) (SNT-1),Frs2 Frs2a,Mus musculus (Mouse),508,"LIPID 2; /note=""N-myristoyl glycine""; /evidence=""ECO:0000269|PubMed:9182757"""
Q8C255,reviewed,DPEP2_MOUSE,Dipeptidase 2 (EC 3.4.13.19) (Membrane-bound dipeptidase 2) (MBD-2),Dpep2 Mbd2,Mus musculus (Mouse),478,"LIPID 459; /note=""GPI-anchor amidated serine""; /evidence=""ECO:0000255"""
Q8C6L5,reviewed,CGAS_MOUSE,Cyclic GMP-AMP synthase (cGAMP synthase) (cGAS) (m-cGAS) (EC 2.7.7.86) (2'3'-cGAMP synthase) (Mab-21 domain-containing protein 1),Cgas Mb21d1,Mus musculus (Mouse),507,"LIPID 459; /note=""S-palmitoyl cysteine""; /evidence=""ECO:0000250|UniProtKB:Q8N884"""
Q8C886,reviewed,PKHN1_MOUSE,Probable pleckstrin homology domain-containing family N member 1 (PH domain-containing family N member 1) (Cardiolipin and phosphatidic acid-binding protein),Plekhn1 Clpabp,Mus musculus (Mouse),610,"LIPID 2; /note=""N-myristoyl glycine""; /evidence=""ECO:0000250|UniProtKB:Q494U1"""
Q8CFB4,reviewed,GBP5_MOUSE,Guanylate-binding protein 5 (EC 3.6.5.-) (GTP-binding protein 5) (GBP-5) (MuGBP-5) (Guanine nucleotide-binding protein 5),Gbp5,Mus musculus (Mouse),590,"LIPID 587; /note=""S-geranylgeranyl cysteine""; /evidence=""ECO:0000250|UniProtKB:Q96PP8"""
Q8CFE5,reviewed,BTBD7_MOUSE,BTB/POZ domain-containing protein 7 (Function-unkown protein 1),Btbd7 Fup1 Kiaa1525,Mus musculus (Mouse),1130,"LIPID 2; /note=""N-myristoyl glycine""; /evidence=""ECO:0000250"""
Q8CFV4,reviewed,NRN1_MOUSE,Neuritin (Candidate plasticity gene 15 protein),Nrn1 Cpg15,Mus musculus (Mouse),142,"LIPID 116; /note=""GPI-anchor amidated glycine""; /evidence=""ECO:0000255"""
Q8CFZ4,reviewed,GPC3_MOUSE,Glypican-3 [Cleaved into: Glypican-3 alpha subunit; Glypican-3 beta subunit],Gpc3,Mus musculus (Mouse),579,"LIPID 553; /note=""GPI-anchor amidated serine""; /evidence=""ECO:0000255"""
Q8CG50,reviewed,RAB43_MOUSE,Ras-related protein Rab-43,Rab43,Mus musculus (Mouse),210,"LIPID 208; /note=""S-geranylgeranyl cysteine""; /evidence=""ECO:0000250""; LIPID 210; /note=""S-geranylgeranyl cysteine""; /evidence=""ECO:0000250"""
Q8CGK7,reviewed,GNAL_MOUSE,"Guanine nucleotide-binding protein G(olf) subunit alpha (Adenylate cyclase-stimulating G alpha protein, olfactory type)",Gnal,Mus musculus (Mouse),381,"LIPID 2; /note=""N-palmitoyl glycine""; /evidence=""ECO:0000250|UniProtKB:P04896""; LIPID 3; /note=""S-palmitoyl cysteine""; /evidence=""ECO:0000250"""
Q8HWE5,reviewed,MILL2_MOUSE,MHC class I-like protein MILL2 (MHC class I-like located near the leukocyte receptor complex 2),Mill2,Mus musculus (Mouse),355,"LIPID 330; /note=""GPI-anchor amidated aspartate""; /evidence=""ECO:0000305|PubMed:16920948"""
Q8HWE7,reviewed,MILL1_MOUSE,MHC class I-like protein MILL1 (MHC class I-like located near the leukocyte receptor complex 1),Mill1,Mus musculus (Mouse),395,"LIPID 369; /note=""GPI-anchor amidated serine""; /evidence=""ECO:0000305|PubMed:16920948"""
Q8K0P3,reviewed,MEAK7_MOUSE,MTOR-associated protein MEAK7 (MEAK7) (TBC/LysM-associated domain-containing protein 1) (TLD domain-containing protein 1),Meak7 Kiaa1609 Tldc1,Mus musculus (Mouse),455,"LIPID 2; /note=""N-myristoyl glycine""; /evidence=""ECO:0000250|UniProtKB:Q6P9B6"""
Q8K0S5,reviewed,R4RL1_MOUSE,Reticulon-4 receptor-like 1 (Nogo receptor-like 2) (Nogo-66 receptor homolog 2) (Nogo-66 receptor-related protein 3) (NgR3),Rtn4rl1 Ngrl2,Mus musculus (Mouse),445,"LIPID 424; /note=""GPI-anchor amidated serine""; /evidence=""ECO:0000255"""
Q8K0V2,reviewed,DCNL3_MOUSE,DCN1-like protein 3 (DCNL3) (DCUN1 domain-containing protein 3) (Defective in cullin neddylation protein 1-like protein 3) (Squamous cell carcinoma-related oncogene 3) (SCCRO3),Dcun1d3 SCCRO3,Mus musculus (Mouse),304,"LIPID 2; /note=""N-myristoyl glycine""; /evidence=""ECO:0000250|UniProtKB:Q8IWE4, ECO:0000255"""
Q8K1S3,reviewed,UNC5B_MOUSE,Netrin receptor UNC5B (Protein unc-5 homolog 2) (Protein unc-5 homolog B),Unc5b Unc5h2,Mus musculus (Mouse),945,"LIPID 403; /note=""S-palmitoyl cysteine""; /evidence=""ECO:0000250|UniProtKB:O08722"""
Q8K337,reviewed,I5P2_MOUSE,"Type II inositol 1,4,5-trisphosphate 5-phosphatase (EC 3.1.3.36) (Inositol polyphosphate-5-phosphatase B) (Phosphoinositide 5-phosphatase) (5PTase)",Inpp5b,Mus musculus (Mouse),993,"LIPID 990; /note=""S-farnesyl cysteine""; /evidence=""ECO:0000255"""
Q8K3Z0,reviewed,NOD2_MOUSE,Nucleotide-binding oligomerization domain-containing protein 2 (Caspase recruitment domain-containing protein 15),Nod2 Card15,Mus musculus (Mouse),1020,"LIPID 375; /note=""S-palmitoyl cysteine""; /evidence=""ECO:0000250|UniProtKB:Q9HC29"""
Q8K558,reviewed,TRML1_MOUSE,Trem-like transcript 1 protein (TLT-1) (Triggering receptor expressed on myeloid cells-like protein 1),Treml1 Tlt1,Mus musculus (Mouse),317,"LIPID 208; /note=""S-palmitoyl cysteine""; /evidence=""ECO:0000250"""
Q8QZZ8,reviewed,RAB38_MOUSE,Ras-related protein Rab-38,Rab38,Mus musculus (Mouse),211,"LIPID 205; /note=""S-palmitoyl cysteine""; /evidence=""ECO:0000255""; LIPID 208; /note=""S-geranylgeranyl cysteine""; /evidence=""ECO:0000250"""
Q8R173,reviewed,ZDHC3_MOUSE,Palmitoyltransferase ZDHHC3 (EC 2.3.1.225) (Acyltransferase ZDHHC3) (EC 2.3.1.-) (GABA-A receptor-associated membrane protein 1) (Golgi-specific DHHC zinc finger protein) (Zinc finger DHHC domain-containing protein 3) (DHHC-3),Zdhhc3 Godz Gramp1,Mus musculus (Mouse),299,"LIPID 146; /note=""S-palmitoyl cysteine""; /evidence=""ECO:0000269|PubMed:26487721"""
Q8R1B5,reviewed,CPLX3_MOUSE,Complexin-3 (Complexin III) (CPX III),Cplx3,Mus musculus (Mouse),158,"LIPID 155; /note=""S-farnesyl cysteine""; /evidence=""ECO:0000269|PubMed:15911881"""
Q8R1F1,reviewed,NIBA2_MOUSE,Protein Niban 2 (Meg-3) (Niban-like protein 1) (Protein FAM129B),Niban2 Fam129b,Mus musculus (Mouse),749,"LIPID 2; /note=""N-myristoyl glycine""; /evidence=""ECO:0000250|UniProtKB:Q96TA1"""
Q8R2F2,reviewed,DEGS2_MOUSE,Sphingolipid delta(4)-desaturase/C4-monooxygenase DES2 (EC 1.14.18.5) (EC 1.14.19.17) (Degenerative spermatocyte homolog 2) (Sphingolipid 4-desaturase) (Sphingolipid C4-monooxygenase),Degs2,Mus musculus (Mouse),323,"LIPID 2; /note=""N-myristoyl glycine""; /evidence=""ECO:0000250|UniProtKB:Q564G3"""
Q8R2Q8,reviewed,BST2_MOUSE,Bone marrow stromal antigen 2 (BST-2) (HM1.24 antigen) (CD antigen CD317),Bst2,Mus musculus (Mouse),172,"LIPID 152; /note=""GPI-anchor amidated serine""; /evidence=""ECO:0000255"""
Q8R366,reviewed,IGSF8_MOUSE,Immunoglobulin superfamily member 8 (IgSF8) (CD81 partner 3) (Glu-Trp-Ile EWI motif-containing protein 2) (EWI-2) (Keratinocyte-associated transmembrane protein 4) (KCT-4) (Prostaglandin regulatory-like protein) (PGRL) (CD antigen CD316),Igsf8 Ewi2 Kct4 Pgrl,Mus musculus (Mouse),611,"LIPID 602; /note=""S-palmitoyl cysteine""; /evidence=""ECO:0000269|PubMed:21609323""; LIPID 603; /note=""S-palmitoyl cysteine""; /evidence=""ECO:0000269|PubMed:21609323"""
Q8R3R8,reviewed,GBRL1_MOUSE,Gamma-aminobutyric acid receptor-associated protein-like 1 (GABA(A) receptor-associated protein-like 1) (Glandular epithelial cell protein 1) (GEC-1),Gabarapl1 Apg8l Atg8l Gec1 MNCb-0091,Mus musculus (Mouse),117,"LIPID 116; /note=""Phosphatidylethanolamine amidated glycine; alternate""; /evidence=""ECO:0000250|UniProtKB:Q9H0R8""; LIPID 116; /note=""Phosphatidylserine amidated glycine; alternate""; /evidence=""ECO:0000250|UniProtKB:Q9H0R8"""
Q8R422,reviewed,CD109_MOUSE,CD109 antigen (GPI-anchored alpha-2 macroglobulin-related protein) (CD antigen CD109),Cd109,Mus musculus (Mouse),1442,"LIPID 1419; /note=""GPI-anchor amidated alanine""; /evidence=""ECO:0000255"""
Q8R4B8,reviewed,NLRP3_MOUSE,"NACHT, LRR and PYD domains-containing protein 3 (EC 3.6.4.-) (Cold autoinflammatory syndrome 1 protein homolog) (Cryopyrin) (Mast cell maturation-associated-inducible protein 1) (PYRIN-containing APAF1-like protein 1)",Nlrp3 Cias1 Mmig1 Nalp3 Pypaf1,Mus musculus (Mouse),1033,"LIPID 841; /note=""S-palmitoyl cysteine""; /evidence=""ECO:0000250|UniProtKB:Q96P20"""
Q8R4F1,reviewed,NTNG2_MOUSE,Netrin-G2 (Laminet-2),Ntng2 Lmnt2,Mus musculus (Mouse),589,"LIPID 566; /note=""GPI-anchor amidated glycine""; /evidence=""ECO:0000255"""
Q8R4G0,reviewed,NTNG1_MOUSE,Netrin-G1 (Laminet-1),Ntng1 Kiaa0976 Lmnt1,Mus musculus (Mouse),539,"LIPID 510; /note=""GPI-anchor amidated serine""; /evidence=""ECO:0000255"""
